左前方-照片:[没有三角架]	334
左前方-照片:[缺少档案照片，无法判定是否改装][没有三角架]	34
左前方-照片:[缺少档案照片，无法判定是否改装][车标不正确][没有三角架]	1
左前方-照片:[缺少档案照片，无法判定是否改装][车标不正确][车牌号不正确]	5
左前方-照片:[缺少档案照片，无法判定是否改装][车标不正确][车牌号不正确][没有三角架]	5
左前方-照片:[缺少档案照片，无法判定是否改装][车标数据信息暂缺][车牌号不正确]	1
左前方-照片:[缺少档案照片，无法判定是否改装][车标数据信息暂缺][车牌号不正确][没有三角架]	6
左前方-照片:[缺少档案照片，无法判定是否改装][车牌号不正确]	13
左前方-照片:[缺少档案照片，无法判定是否改装][车牌号不正确][没有三角架]	7
左前方-照片:[车标不正确][车牌号不正确]	148
左前方-照片:[车标不正确][车牌号不正确][没有三角架]	38
左前方-照片:[车标数据信息暂缺][没有三角架]	2
左前方-照片:[车标数据信息暂缺][车牌号不正确]	30
左前方-照片:[车标数据信息暂缺][车牌号不正确][没有三角架]	14
左前方-照片:[车牌号不正确]	120
左前方-照片:[车牌号不正确][没有三角架]	108
通过	11200
右后方-照片:[没有三角架]	107
右后方-照片:[车标不正确][车牌号不正确]	44
右后方-照片:[车标数据信息暂缺][车牌号不正确]	24
右后方-照片:[车标数据信息暂缺][车牌号不正确][没有三角架]	1
右后方-照片:[车牌号不正确]	436
右后方-照片:[车牌号不正确][没有三角架]	4
右后方照片:[没有三角架]	9
通过	12485
车架号-照片:[缺少拓印膜照片，无法判定车架号是否更改][车架号不正确]	94
车架号-照片:[车架号不正确]	933
通过	9961
安全带-照片:[没有安全带]	444
通过	12275
行驶证-照片:[行驶证发证日期不正确]	390
行驶证-照片:[行驶证编号（条形码）不正确]	135
行驶证-照片:[行驶证编号（条形码）不正确][行驶证发证日期不正确]	96
行驶证-照片:[车架号不正确]	168
行驶证-照片:[车架号不正确][行驶证发证日期不正确]	48
行驶证-照片:[车架号不正确][行驶证编号（条形码）不正确]	2
行驶证-照片:[车架号不正确][行驶证编号（条形码）不正确][行驶证发证日期不正确]	5
行驶证-照片:[车牌号不正确]	64
行驶证-照片:[车牌号不正确][行驶证发证日期不正确]	4
行驶证-照片:[车牌号不正确][行驶证编号（条形码）不正确][行驶证发证日期不正确]	1
行驶证-照片:[车牌号不正确][车架号不正确]	7
行驶证-照片:[车牌号不正确][车架号不正确][行驶证发证日期不正确]	9
行驶证-照片:[车牌号不正确][车架号不正确][行驶证编号（条形码）不正确][行驶证发证日期不正确]	9
通过	11555
交强险-照片:[检验日期不在保险有效期内][车架号不正确]	82
交强险-照片:[检验日期不在保险有效期内][车架号不正确][没有印章]	125
交强险-照片:[检验日期不在保险有效期内][车牌号不正确]	17
交强险-照片:[检验日期不在保险有效期内][车牌号不正确][车架号不正确]	8
交强险-照片:[检验日期不在保险有效期内][车牌号不正确][车架号不正确][没有印章]	16
交强险-照片:[没有缴纳车船税]	2
交强险-照片:[车架号不正确]	266
交强险-照片:[车牌号不正确]	87
交强险-照片:[车牌号不正确][车架号不正确]	22
通过	9292
检验报告-照片:[数据项不正确]	194
检验报告-照片:[没有印章]	3
检验报告-照片:[没有签名]	324
检验报告-照片:[没有签名][数据项不正确]	2
检验报告-照片:[车架号不正确]	207
检验报告-照片:[车架号不正确][数据项不正确]	2
检验报告-照片:[车架号不正确][没有签名]	8
检验报告-照片:[车牌号不正确]	305
检验报告-照片:[车牌号不正确][数据项不正确]	3
检验报告-照片:[车牌号不正确][没有签名]	12
检验报告-照片:[车牌号不正确][车架号不正确]	172
检验报告-照片:[车牌号不正确][车架号不正确][数据项不正确]	4
检验报告-照片:[车牌号不正确][车架号不正确][没有签名]	13
通过	11425
牌证申请表-照片:[没有签名]	47
牌证申请表-照片:[车牌号不正确]	2336
牌证申请表-照片:[车牌号不正确][没有签名]	5
通过	9974
尾气检测报告-照片:[检查结论不通过]	339
尾气检测报告-照片:[检查结论不通过][没有签名]	8
尾气检测报告-照片:[检查结论不通过][车架号不正确]	5
尾气检测报告-照片:[没有印章]	68
尾气检测报告-照片:[没有印章][没有签名]	3
尾气检测报告-照片:[没有签名]	623
尾气检测报告-照片:[车架号不正确]	89
尾气检测报告-照片:[车架号不正确][没有印章]	1
尾气检测报告-照片:[车架号不正确][没有印章][没有签名]	4
尾气检测报告-照片:[车架号不正确][没有签名]	31
尾气检测报告-照片:[车牌号不正确]	24
尾气检测报告-照片:[车牌号不正确][没有印章]	6
尾气检测报告-照片:[车牌号不正确][没有签名]	3
尾气检测报告-照片:[车牌号不正确][车架号不正确]	70
尾气检测报告-照片:[车牌号不正确][车架号不正确][没有印章]	1
尾气检测报告-照片:[车牌号不正确][车架号不正确][没有印章][没有签名]	5
尾气检测报告-照片:[车牌号不正确][车架号不正确][没有签名]	61
通过	7781
左灯光工位-照片:[车灯未亮]	221
左灯光工位-照片:[车灯未亮][车牌号不正确]	52
左灯光工位-照片:[车牌号不正确]	757
通过	11673
右灯光工位-照片:[车灯未亮]	190
右灯光工位-照片:[车灯未亮][车牌号不正确]	47
右灯光工位-照片:[车牌号不正确]	592
通过	9313
一轴制动工位-照片:[车牌号不正确]	881
一轴制动工位-照片:[车轮位置不对]	517
一轴制动工位-照片:[车轮位置不对][车牌号不正确]	143
平板制动工位-照片:	535
通过	9639
二轴制动工位-照片:[车牌号不正确]	774
二轴制动工位-照片:[车轮位置不对]	615
二轴制动工位-照片:[车轮位置不对][车牌号不正确]	250
通过	9219
通过	3959
驻车制动工位-照片:[车牌号不正确]	1840
底盘动态检验开始-照片:[车牌号不正确]	2871
底盘动态检验开始-照片:车未移动	425
通过	1733
底盘动态检验结束-照片:[车牌号不正确]	2871
底盘动态检验结束-照片:车未移动	425
通过	1733
底盘检验-照片:[底盘不在工位]	12
底盘检验-照片:[底盘不在工位][车牌号不正确]	481
底盘检验-照片:[没有检验员]	64
底盘检验-照片:[车牌号不正确]	1026
底盘检验-照片:[车牌号不正确][没有检验员]	4
通过	6055
